Ticker,Environmental,Governance,Social,ESG Score,Environmental Weight,Governance Weight ,Social weight,,,,,,,,,,,,,,,,,,,,
WDC UW Equity,3.00,7.22,5.06,15.28,0.20,0.47,0.33,,,,,,,,,,,,,,,,,,,,
WEC UN Equity,5.34,7.76,6.14,19.23,0.28,0.40,0.32,,,,,,,,,,,,,,,,,,,,
WELL UN Equity,3.02,7.87,8.94,19.83,0.15,0.40,0.45,,,,,,,,,,,,,,,,,,,,
WFC UN Equity,3.14,7.66,2.66,13.46,0.23,0.57,0.20,,,,,,,,,,,,,,,,,,,,
WM UN Equity,3.77,7.97,1.81,13.55,0.28,0.59,0.13,,,,,,,,,,,,,,,,,,,,
WMB UN Equity,6.20,7.40,4.32,17.92,0.35,0.41,0.24,,,,,,,,,,,,,,,,,,,,
WMT UW Equity,5.25,7.52,2.60,15.37,0.34,0.49,0.17,,,,,,,,,,,,,,,,,,,,
WRB UN Equity,0.29,6.23,0.99,7.51,0.04,0.83,0.13,,,,,,,,,,,,,,,,,,,,
WSM UN Equity,5.14,8.15,5.80,19.09,0.27,0.43,0.30,,,,,,,,,,,,,,,,,,,,
WST UN Equity,0.00,6.86,1.76,8.63,0.00,0.80,0.20,,,,,,,,,,,,,,,,,,,,
WTW UW Equity,6.94,7.75,2.84,17.52,0.40,0.44,0.16,,,,,,,,,,,,,,,,,,,,
WY UN Equity,6.66,7.46,3.59,17.72,0.38,0.42,0.20,,,,,,,,,,,,,,,,,,,,
WYNN UW Equity,3.21,6.89,4.79,14.89,0.22,0.46,0.32,,,,,,,,,,,,,,,,,,,,
XEL UW Equity,4.74,7.68,5.89,18.31,0.26,0.42,0.32,,,,,,,,,,,,,,,,,,,,
XOM UN Equity,5.01,7.80,4.23,17.04,0.29,0.46,0.25,,,,,,,,,,,,,,,,,,,,
XYL UN Equity,5.99,8.05,5.53,19.57,0.31,0.41,0.28,,,,,,,,,,,,,,,,,,,,
XYZ UN Equity,4.17,5.38,1.55,11.11,0.38,0.48,0.14,,,,,,,,,,,,,,,,,,,,
YUM UN Equity,4.18,7.89,4.11,16.18,0.26,0.49,0.25,,,,,,,,,,,,,,,,,,,,
ZBH UN Equity,2.67,7.91,4.51,15.09,0.18,0.52,0.30,,,,,,,,,,,,,,,,,,,,
ZBRA UW Equity,2.84,6.45,3.91,13.20,0.22,0.49,0.30,,,,,,,,,,,,,,,,,,,,
ZTS UN Equity,6.33,7.46,4.88,18.68,0.34,0.40,0.26,,,,,,,,,,,,,,,,,,,,
